# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	27429
#@/user_id	659266f3-df3f-408b-a1c2-a69bcad06620
a 	啊	c=16 d=1.03335 t=9474
ying 	應	c=5 d=2.62119 t=26494
ying 	瀅	c=1 d=1 t=311
ying 	硬	c=1 d=1 t=2172
ying 	英	c=1 d=1 t=20111
ying gai 	應該	c=62 d=1.33723 t=27263
ying gai bu hui 	應該不會	c=1 d=1 t=8241
ying gai gei 	應該給	c=1 d=1 t=17433
ying gai qu 	應該去	c=1 d=1 t=1558
ying gai shi 	應該是	c=6 d=1.3396 t=26074
ying gai shi ge 	應該是個	c=1 d=1 t=6542
ying gai shuo de shi 	應該說的是	c=1 d=1 t=17911
ying pan 	硬盤	c=9 d=3.11256 t=21587
ying pan kong jian 	硬盤空間	c=1 d=1 t=21585
ying shi 	影視	c=1 d=1 t=5275
ying tong huo 	硬通貨	c=1 d=1 t=5597
ying wei 	應爲	c=1 d=1 t=17390
ying wen 	英文	c=7 d=1 t=27142
ying xiang 	影響	c=27 d=1.1034 t=27301
ying xiang xing neng 	影響性能	c=1 d=1 t=4106
ying yong 	應用	c=1 d=1 t=23567
ying you 	應有	c=2 d=1 t=26273
ying you 	應由	c=1 d=1 t=18774
ying yu 	英語	c=3 d=1 t=14281
ying zai 	應在	c=1 d=1 t=17559
yong 	勇	c=1 d=1 t=14241
yong 	用	c=106 d=3.16825 t=27414
yong chu 	用處	c=1 d=1 t=27129
yong cuo 	用錯	c=1 d=1 t=18077
yong dao 	用到	c=4 d=1.00005 t=8909
yong de 	用的	c=3 d=1.00002 t=20663
yong de shi 	用的是	c=4 d=1 t=24413
yong gong du shu 	用功讀書	c=1 d=1 t=23235
yong hu 	用戶	c=19 d=1.00125 t=26467
yong hu ceng 	用戶層	c=1 d=1 t=21148
yong jiu 	永久	c=1 d=1 t=5305
yong lai 	用來	c=20 d=1.00022 t=25706
yong lai suan 	用來算	c=1 d=1 t=20885
yong le 	用了	c=11 d=1.27117 t=27382
yong liang 	用量	c=4 d=2.06622 t=21921
yong ne 	用呢	c=1 d=1 t=23493
yong qi lai 	用起來	c=1 d=1 t=22949
yong yi ge 	用一個	c=1 d=1 t=9194
yong you 	擁有	c=1 d=1 t=5404
yong yu 	用於	c=1 d=1 t=7253
yong zai 	用在	c=1 d=1 t=20786
yong zhe ge 	用這個	c=1 d=1 t=470
you 	優	c=1 d=1 t=27219
you 	又	c=10 d=0.1 t=26695
you 	友	c=1 d=1 t=5225
you 	有	c=210 d=2.44565 t=27427
you 	由	c=63 d=1.1092 t=26865
you 	遊	c=3 d=1 t=10027
you bian hua 	有變化	c=2 d=1.05054 t=16061
you bu shi 	又不是	c=1 d=1 t=9383
you ce shi 	有測試	c=1 d=1 t=18256
you cheng ke 	有乘客	c=1 d=1 t=17469
you dao 	有道	c=1 d=1 t=20195
you dao li 	有道理	c=5 d=1 t=26633
you de hua 	有的話	c=1 d=1 t=2663
you dian 	優點	c=25 d=2.96684 t=27320
you dian 	有點	c=17 d=1.99159 t=27321
you dian 	郵電	c=1 d=1 t=1634
you dian dong xi 	有點東西	c=3 d=1 t=27370
you dian lao 	有點老	c=1 d=1 t=18957
you dian yi si 	有點意思	c=3 d=1 t=20822
you dian yong 	有點用	c=1 d=1 t=25194
you dui 	有对	c=0 d=0.1 t=17594
you duo zhong 	有多種	c=1 d=1 t=12621
you fei 	郵費	c=1 d=1 t=9100
you ge 	有個	c=3 d=1.05279 t=5929
you guan 	有關	c=6 d=1.10228 t=23094
you hen duo 	有很多	c=1 d=1 t=4856
you hua 	優化	c=23 d=1.00081 t=27179
you hua dian 	優化點	c=1 d=1 t=14251
you hua diao 	優化掉	c=2 d=1.97045 t=14515
you hua le 	優化了	c=1 d=1 t=9145
you hua qi 	優化器	c=1 d=1 t=24800
you hui 	又會	c=0 d=0.1 t=18658
you hui dai lai 	又會帶來	c=1 d=1 t=18659
you ji hui 	有機會	c=2 d=1.91393 t=7370
you jian 	郵件	c=5 d=2.25699 t=17963
you ju 	郵局	c=1 d=1 t=10400
you kan le 	又看了	c=2 d=1.94649 t=26707
you keng le 	有坑了	c=1 d=1 t=23302
you kong 	有空	c=0 d=0.1 t=16916
you kong de 	有空的	c=1 d=1 t=16917
you le 	有了	c=6 d=1 t=24205
you mei you 	又沒有	c=1 d=1 t=18749
you mei you 	有沒有	c=4 d=1.00008 t=24984
you ming 	有名	c=1 d=1.00392 t=5057
you ni 	有你	c=1 d=1 t=6961
you qiong 	有穷	c=1 d=1 t=6399
you qu bie 	有區別	c=1 d=1 t=27280
you ren 	有人	c=1 d=1 t=19191
you sha 	有啥	c=1 d=1 t=4358
you shen me 	有什麼	c=1 d=1 t=25327
you shen me 	有神麼	c=4 d=1 t=25326
you shi 	有事	c=1 d=1 t=477
you shi 	有時	c=1 d=1 t=9410
you shi hou 	有時候	c=1 d=1 t=18033
you shui 	有水	c=0 d=0.1 t=8759
you shui yin 	有水印	c=1 d=1 t=8760
you wan 	遊玩	c=1 d=1 t=5937
you wei 	尤爲	c=1 d=1 t=5310
you wen ti 	有問題	c=3 d=1 t=20737
you xi 	由希	c=1 d=1 t=1883
you xi 	遊戲	c=10 d=1 t=25174
you xi shi jian 	遊戲時間	c=1 d=1 t=4614
you xian 	有限	c=4 d=1.07277 t=7066
you xian ji 	優先級	c=32 d=2.0846 t=26753
you xiang 	又想	c=1 d=1 t=4744
you xiang 	誘降	c=1 d=1 t=4743
you xiang 	郵箱	c=1 d=1 t=4885
you xiao 	有效	c=3 d=1.956 t=25594
you xie 	有些	c=3 d=1 t=21752
you xing 	遊行	c=1 d=1 t=2676
you yi 	有一	c=0 d=0.1 t=22348
you yi fu 	有衣服	c=1 d=1 t=8214
you yi ge 	有一個	c=30 d=1.00361 t=26809
you yi si 	有意思	c=2 d=1 t=13409
you yi xiang 	有一項	c=1 d=1 t=22349
you yi xie 	有一些	c=7 d=1.03936 t=14133
you yi zhong 	有一種	c=1 d=0.20383 t=4984
you yin 	又因	c=0 d=0.1 t=11561
you yin wei 	又因爲	c=3 d=1.00086 t=24765
you yong 	有用	c=3 d=1 t=27223
you you 	又有	c=1 d=1 t=6368
you yu 	由於	c=32 d=2.98844 t=26027
you zhou 	幽州	c=1 d=1 t=19567
you zhuang tai 	有狀態	c=1 d=1 t=23293
yu 	域	c=2 d=1 t=22651
yu 	於	c=18 d=1.006 t=25496
yu 	玉	c=4 d=1.98511 t=18293
yu 	與	c=92 d=2.48548 t=27158
yu 	語	c=2 d=1 t=9403
yu 	雨	c=1 d=1 t=10403
yu bao 	預報	c=1 d=1 t=17207
yu bei 	預備	c=1 d=1 t=17193
yu bing 	語病	c=4 d=1.95601 t=8899
yu chu li 	預處理	c=1 d=1 t=1320
yu dao 	遇到	c=15 d=1.00367 t=26511
yu dao le 	遇到了	c=1 d=1 t=19152
yu duo tian guang 	宇多田光	c=1 d=1 t=19735
yu fa 	語法	c=3 d=1.04324 t=22986
yu fou 	與否	c=3 d=1.81516 t=13339
yu gu 	預估	c=1 d=0.1 t=24800
yu gu de 	預估的	c=1 d=1 t=24801
yu ji 	預計	c=3 d=1.99501 t=23330
yu ji shu 	與技術	c=0 d=0.1 t=9813
yu ju 	語句	c=14 d=2.45397 t=27296
yu kuai 	愉快	c=1 d=1 t=21048
yu lan 	預覽	c=1 d=1 t=1110
yu long 	玉龍	c=0 d=0.1 t=18294
yu qi 	預期	c=5 d=1.26257 t=24835
yu qi xiao guo 	預期效果	c=1 d=1 t=24453
yu que 	語雀	c=1 d=1 t=11114
yu re 	預熱	c=1 d=1 t=5992
yu san 	雨傘	c=2 d=1.34646 t=11333
yu shi 	於是	c=12 d=1.00001 t=25290
yu xin tiao 	與心跳	c=1 d=1 t=18976
yu yan 	語言	c=5 d=1.00001 t=23207
yu yi 	語義	c=17 d=1.70469 t=25637
yu yi shi 	語義是	c=1 d=1 t=10698
yu zhe ge 	與這個	c=1 d=1 t=18086
yu zhi 	與之	c=2 d=1 t=21840
yu zhi 	閾值	c=18 d=1.66573 t=23585
yu zhi le 	閾值了	c=1 d=1 t=5453
yu zi ji 	與自己	c=1 d=1 t=26901
yuan 	元	c=8 d=1 t=23524
yuan 	原	c=2 d=1.00001 t=18554
yuan 	圓	c=1 d=1 t=7970
yuan 	袁	c=1 d=1.09501 t=6884
yuan 	遠	c=2 d=1 t=23284
yuan 	鳶	c=1 d=1.1 t=10931
yuan ban 	原版	c=3 d=1.00001 t=19626
yuan biao 	元表	c=1 d=1 t=24046
yuan biao 	原表	c=1 d=1 t=24047
yuan cheng 	遠程	c=4 d=1.71177 t=5921
yuan chuang xing 	原創性	c=1 d=1 t=7090
yuan dai ma 	源代碼	c=1 d=1 t=550
yuan di 	原地	c=1 d=1 t=9499
yuan duan 	遠端	c=4 d=3.93106 t=20224
yuan gang 	圓剛	c=1 d=1 t=7973
yuan gong 	員工	c=1 d=1 t=141
yuan hua 	遠華	c=1 d=1 t=554
yuan jing 	願景	c=2 d=1.99501 t=27009
yuan lai 	原來	c=13 d=1 t=25270
yuan lai shi 	原來是	c=1 d=1 t=6531
yuan li 	原理	c=6 d=1.00002 t=25213
yuan ma 	源碼	c=2 d=1 t=9443
yuan qiao chu 	袁翹楚	c=1 d=1 t=6885
yuan sheng 	原生	c=0 d=0.1 t=263
yuan shi 	原始	c=3 d=1.01674 t=19350
yuan shi xian li 	原實現裏	c=1 d=1 t=16755
yuan su 	元素	c=12 d=1.78198 t=17703
yuan wu qu 	圓舞曲	c=1 d=1 t=7733
yuan xin xi 	元信息	c=3 d=1 t=23528
yuan yi 	願意	c=1 d=1 t=12258
yuan yin 	原因	c=8 d=1 t=18495
yuan yin le 	原因了	c=1 d=1 t=13867
yuan ze 	原則	c=1 d=1 t=23152
yue 	月	c=13 d=1.98512 t=25383
yue 	約	c=2 d=1 t=18708
yue 	越	c=1 d=1 t=12902
yue bao 	月報	c=3 d=2.47642 t=26848
yue bing 	月餅	c=1 d=1 t=19007
yue da 	越大	c=3 d=1 t=27324
yue deng yu 	約等於	c=1 d=1 t=13781
yue di 	月底	c=1 d=1 t=6464
yue di 	越低	c=1 d=1 t=5780
yue du 	閱讀	c=14 d=1.00024 t=24714
yue dui 	樂隊	c=2 d=1 t=25619
yue duo 	越多	c=5 d=1.04076 t=27053
yue fen 	月份	c=1 d=1 t=13378
yue gao 	越高	c=6 d=3.05662 t=5778
yue hao 	越好	c=4 d=1.04097 t=27054
yue kan 	越看	c=1 d=1 t=14596
yue kuai 	越快	c=2 d=1.94649 t=5680
yue ming 	月明	c=0 d=0.1 t=25167
yue nan 	越難	c=1 d=1 t=27325
yue xiao 	越小	c=1 d=1 t=14092
yue you 	越有	c=1 d=1 t=14597
yun 	暈	c=1 d=1 t=19744
yun 	雲	c=3 d=1 t=21184
yun dong 	運動	c=0 d=0.1 t=9329
yun dong yi xia 	運動一下	c=1 d=1 t=9330
yun feng 	雲鳳	c=1 d=1 t=20114
yun wei 	運維	c=1 d=1 t=25430
yun xing 	運行	c=14 d=1.08719 t=22086
yun xing shi 	運行時	c=2 d=1 t=25303
yun yin yue 	雲音樂	c=1 d=1 t=473
yun yuan sheng 	雲原生	c=1 d=1 t=264
yun yun 	暈暈	c=0 d=0.1 t=23467
yun yun de 	暈暈的	c=1 d=1 t=23468
za 	咋	c=3 d=1.02746 t=9883
za ban 	咋辦	c=2 d=1 t=13700
za dong 	咋懂	c=1 d=1 t=24931
za shuo 	咋說	c=1 d=1 t=1861
za xiang 	雜項	c=4 d=1.00005 t=15035
za yang 	咋樣	c=1 d=1 t=3611
za zhi 	雜誌	c=0 d=0.1 t=4465
za zuo 	咋做	c=1 d=1 t=14499
za zuo de 	咋做的	c=1 d=1 t=12099
zai 	再	c=56 d=1.03796 t=26960
zai 	在	c=311 d=1.10399 t=27212
zai bu zai 	在不在	c=1 d=1 t=4236
zai ci 	再次	c=2 d=1 t=7365
zai cong 	再從	c=1 d=1 t=7420
zai du 	在讀	c=1 d=1 t=437
zai du le 	在讀了	c=2 d=1.99501 t=20848
zai duo 	再多	c=0 d=0.1 t=22562
zai duo yi dian 	再多一點	c=1 d=1 t=22563
zai fa 	再發	c=3 d=1 t=21323
zai gai 	再改	c=1 d=1 t=16148
zai gan ma 	在幹嘛	c=1 d=1 t=10947
zai ge 	在各	c=1 d=1 t=2001
zai gen 	再跟	c=1 d=1 t=9539
zai jia shang 	再加上	c=1 d=1 t=19611
zai kan 	再看	c=3 d=1 t=21763
zai kan 	在看	c=3 d=1.00009 t=26829
zai lai 	再來	c=0 d=0.1 t=18003
zai qu 	再去	c=1 d=1 t=3456
zai shuo 	再說	c=1 d=1 t=5171
zai xian 	在線	c=2 d=1.00001 t=11131
zai yong 	在用	c=2 d=1.00137 t=5013
zai yu 	在於	c=1 d=1 t=1632
zai zai 	仔仔	c=0 d=0.1 t=1905
zai zhao 	再找	c=1 d=1 t=2180
zai zheng chang 	在正常	c=1 d=1 t=10504
zan 	攢	c=0 d=0.1 t=13891
zan dao 	攢到	c=1 d=1 t=5468
zan qi 	攢齊	c=1 d=1 t=10435
zan shi 	暫時	c=4 d=1 t=23551
zan yi pi 	攢一批	c=1 d=1 t=13892
zang li 	葬禮	c=1 d=1 t=7968
zang lie 	葬列	c=1 d=1 t=7969
zao 	早	c=6 d=2.81885 t=17243
zao cheng 	造成	c=1 d=1 t=26171
zao dao tian 	早稻田	c=1 d=1 t=13459
zao dian 	早點	c=1 d=1 t=8223
zao jiu 	早就	c=0 d=0.1 t=27189
zao jiu ti chu lai le 	早就提出來了	c=1 d=1 t=27190
zao lai 	早來	c=1 d=1 t=17554
zao nian 	早年	c=1 d=1 t=601
zao qi 	早期	c=1 d=1 t=4830
zao shang 	早上	c=9 d=1.00042 t=26417
zao yu 	早於	c=1 d=1 t=17731
zao zou 	早走	c=1 d=1 t=17557
ze 	則	c=13 d=1 t=26581
ze shi 	則是	c=1 d=1 t=5401
zen me 	怎麼	c=36 d=1.04961 t=27277
zen me ban 	怎麼辦	c=6 d=1 t=19635
zen me du 	怎麼讀	c=1 d=1 t=20580
zen me fen 	怎麼分	c=1 d=1 t=20651
zen me shuo 	怎麼說	c=1 d=1 t=14282
zen me xie 	怎麼寫	c=1 d=1 t=17514
zen me yang 	怎麼樣	c=1 d=1 t=345
zen yang 	怎樣	c=2 d=1 t=20100
zeng jia 	增加	c=25 d=2.23449 t=26995
zeng jia le 	增加了	c=3 d=2.42133 t=21151
zeng jia liang 	增加量	c=1 d=1 t=5378
zeng jia yi ceng 	增加一層	c=1 d=1 t=23825
zeng jia yi ge 	增加一個	c=1 d=1 t=16105
zhan 	佔	c=1 d=1 t=13682
zhan 	站	c=1 d=1 t=4739
zhan bi 	佔比	c=1 d=1 t=20427
zhan dou 	戰鬥	c=5 d=2.82744 t=5583
zhan dou li 	戰鬥力	c=1 d=1 t=5579
zhan li 	戰力	c=3 d=2.58116 t=6381
zhan yong 	佔用	c=6 d=1.20324 t=26922
zhang 	張	c=12 d=1 t=27353
zhang 	杖	c=1 d=1 t=11105
zhang 	章	c=1 d=1 t=878
zhang 	長	c=3 d=1.0012 t=24786
zhang hao 	帳號	c=2 d=1.99501 t=19816
zhang hao 	張皓	c=1 d=1 t=19814
zhang jie 	章節	c=3 d=1.95123 t=8897
zhang wo 	掌握	c=2 d=1 t=23199
zhang zhe 	长者	c=1 d=1 t=20841
zhao 	找	c=17 d=1 t=23809
zhao 	招	c=1 d=1 t=4934
zhao bu dao 	找不到	c=3 d=1 t=11518
zhao chu 	找出	c=1 d=1 t=18935
zhao dao 	找到	c=12 d=0.182085 t=27191
zhao dao de 	找到的	c=1 d=1 t=4012
zhao dao le 	找到了	c=6 d=1.1108 t=18992
zhao ge 	找個	c=3 d=1 t=21042
zhao hao 	找好	c=0 d=0.1 t=4712
zhao hao le 	找好了	c=1 d=1 t=4713
zhao he 	昭和	c=1 d=1 t=9900
zhao kuan 	兆寬	c=1 d=1 t=7399
zhao le ge 	找了個	c=1 d=1 t=19653
zhao qi 	找齊	c=2 d=1.96079 t=4124
zhao wo 	找我	c=0 d=0.1 t=489
zhao yi ge 	找一個	c=1 d=1 t=22691
zhao zhao 	找找	c=1 d=1 t=6161
zhe 	着	c=3 d=1.00441 t=12351
zhe 	者	c=5 d=1 t=23769
zhe 	這	c=17 d=1 t=26615
zhe ba 	這把	c=1 d=1 t=15123
zhe ben shu 	這本書	c=1 d=1 t=26692
zhe bian 	這邊	c=1 d=1 t=266
zhe bu fen 	這部分	c=2 d=1 t=23412
zhe che 	這車	c=1 d=1 t=17434
zhe da 	浙大	c=5 d=1 t=19541
zhe die 	摺疊	c=1 d=1 t=1116
zhe dong xi 	這東西	c=1 d=1 t=6253
zhe duan 	這段	c=1 d=0.1 t=24967
zhe duan dai ma 	這段代碼	c=1 d=1 t=24968
zhe fang mian 	這方面	c=3 d=1.00001 t=8732
zhe ge 	這個	c=197 d=1.70252 t=27188
zhe ge zhi 	這個值	c=1 d=1 t=5469
zhe hang 	這行	c=1 d=1 t=11147
zhe ji ge 	這幾個	c=2 d=1 t=10864
zhe jian shi 	這件事	c=2 d=1 t=26907
zhe jiang 	浙江	c=1 d=1 t=17680
zhe jiang da xue 	浙江大學	c=2 d=1.54881 t=9812
zhe lao shi 	這老師	c=1 d=1 t=8902
zhe lei 	這類	c=2 d=1 t=24950
zhe li 	這裏	c=34 d=1 t=26699
zhe li de 	這裏的	c=1 d=1 t=19142
zhe li shi 	這裏是	c=3 d=1 t=23495
zhe lia 	這倆	c=2 d=1.00005 t=6905
zhe liang che 	這輛車	c=1 d=1 t=17282
zhe liang ge 	這兩個	c=4 d=1.00077 t=26933
zhe liang jian 	這兩件	c=1 d=1 t=15877
zhe me 	這麼	c=4 d=1 t=24855
zhe me duo 	這麼多	c=2 d=1 t=7303
zhe me duo ren 	這麼多人	c=1 d=1 t=21940
zhe me gui 	這麼貴	c=1 d=1 t=1879
zhe me qiang 	這麼強	c=1 d=1 t=12409
zhe me yan zhong ma 	這麼嚴重嗎	c=1 d=1 t=2891
zhe me zao 	這麼早	c=1 d=1 t=7955
zhe pian 	這篇	c=3 d=1.00007 t=9281
zhe pian wen zhang 	這篇文章	c=2 d=1.11248 t=1942
zhe qi jian 	這期間	c=1 d=1 t=10778
zhe shi 	這事	c=1 d=1 t=21063
zhe shi 	這是	c=12 d=1 t=22026
zhe shi sha 	這是啥	c=1 d=1 t=18472
zhe shi yi ge 	這是一個	c=2 d=1 t=20966
zhe shi zai 	這是在	c=1 d=1 t=8365
zhe tai 	這臺	c=0 d=0.1 t=21730
zhe tai ji qi 	這臺機器	c=1 d=1 t=21731
zhe tiao 	這條	c=4 d=1.97531 t=26609
zhe xie 	這些	c=12 d=1.00001 t=24219
zhe xue 	哲学	c=1 d=1 t=8073
zhe yang 	這樣	c=8 d=1.021 t=25560
zhe yang de 	這樣的	c=1 d=1 t=5076
zhe yang gan 	這樣幹	c=2 d=1.9802 t=19218
zhe yi 	這一	c=2 d=1 t=19228
zhe yi bu 	這一步	c=3 d=1 t=9959
zhe yi bu fen 	這一部分	c=2 d=1.12873 t=2594
zhe yi ci 	這一次	c=1 d=1 t=7193
zhe yi duan 	這一段	c=3 d=1.23438 t=8076
zhe yi hang 	這一行	c=1 d=1 t=2030
zhe yi lei 	這一類	c=1 d=1 t=5071
zhe yi xiang 	這一項	c=1 d=1 t=1211
zhe you 	這有	c=1 d=1 t=19243
zhe yuan 	哲院	c=2 d=1.99501 t=439
zhe zai 	這在	c=2 d=1 t=6616
zhe zhang 	這張	c=0 d=0.1 t=24431
zhe zhang biao 	這張表	c=1 d=1 t=24432
zhe zhong 	這種	c=10 d=1 t=25232
zhe zhong qing kuang 	這種情況	c=1 d=1 t=10732
zhe zhou 	這週	c=1 d=1 t=8770
zhei 	這	c=1 d=1 t=11026
zhen de 	真的	c=1 d=1 t=7743
zhen de ma 	真的嗎	c=2 d=1.0008 t=6083
zhen dui 	針對	c=3 d=1.0001 t=22992
zhen gui 	珍貴	c=1 d=1 t=5311
zhen nu 	震怒	c=1 d=1 t=242
zhen shi 	真是	c=1 d=1 t=4954
zhen yao 	真要	c=0 d=0.1 t=11404
zhen yao xie 	真要寫	c=1 d=1 t=11405
zhen zheng 	真正	c=3 d=1.00139 t=17063
zheng 	掙	c=0 d=0.1 t=4679
zheng chang 	正常	c=23 d=2.74043 t=26931
zheng chang fu wu 	正常服務	c=1 d=1 t=26474
zheng chang xin tiao 	正常心跳	c=1 d=1 t=22877
zheng dao 	掙到	c=1 d=1 t=4724
zheng dian 	整點	c=1 d=1 t=22746
zheng ge 	整個	c=1 d=1 t=16626
zheng hao 	正好	c=1 d=1 t=4800
zheng le 	整了	c=0 d=0.1 t=20671
zheng le ge 	整了個	c=1 d=1 t=20672
zheng li 	整理	c=6 d=1.00267 t=22932
zheng ming 	證明	c=11 d=1 t=22832
zheng que 	正確	c=8 d=1.00002 t=26880
zheng que xing 	正確性	c=6 d=1 t=25281
zheng shi 	正式	c=4 d=1 t=19656
zheng shi kai shi 	正式開始	c=1 d=1 t=2010
zheng shu 	整數	c=6 d=4.33826 t=25262
zheng shu 	證書	c=1 d=1 t=13365
zheng ti 	整體	c=3 d=1.00139 t=21602
zheng yi 	正義	c=0 d=0.1 t=20323
zheng zai 	正在	c=13 d=1.32293 t=26870
zheng ze 	正則	c=1 d=1 t=22461
zhi 	之	c=4 d=1 t=25616
zhi 	值	c=14 d=1 t=22663
zhi 	只	c=28 d=0.100003 t=26357
zhi 	志	c=1 d=1 t=22605
zhi 	指	c=3 d=1.99501 t=22370
zhi 	智	c=1 d=1 t=16740
zhi 	知	c=0 d=0.1 t=14528
zhi 	芷	c=2 d=1.97531 t=7946
zhi ban 	值班	c=3 d=0.1 t=25383
zhi ban guo cheng 	值班過程	c=1 d=1 t=25384
zhi bao han 	只包含	c=1 d=1 t=23375
zhi bao zheng 	只保證	c=1 d=1 t=10671
zhi biao 	制表	c=2 d=1.16203 t=13762
zhi biao 	指標	c=34 d=1.43393 t=26478
zhi chang 	職場	c=0 d=0.1 t=13607
zhi chi 	支持	c=32 d=1.02594 t=27295
zhi chu 	支出	c=1 d=1 t=13402
zhi cun le 	只存了	c=2 d=1 t=23257
zhi cun yi fen 	只存一份	c=1 d=1 t=24072
zhi dai 	指代	c=2 d=1.28365 t=15170
zhi dao 	直到	c=8 d=1 t=25660
zhi dao 	知道	c=11 d=0.100008 t=25303
zhi dao le 	知道了	c=1 d=1 t=2971
zhi de 	值得	c=0 d=0.1 t=25061
zhi de 	指的	c=4 d=1 t=26701
zhi dian qian 	值點錢	c=1 d=1 t=5547
zhi ding 	指定	c=5 d=1 t=26640
zhi dou 	智鬥	c=1 d=1 t=23076
zhi du 	制度	c=1 d=1 t=23148
zhi dui 	只對	c=3 d=1.00001 t=9009
zhi fang 	只放	c=1 d=1 t=11931
zhi fu ze 	只負責	c=1 d=1 t=10535
zhi gan jue 	只感覺	c=1 d=1 t=2772
zhi guan 	只管	c=1 d=1 t=11710
zhi guo 	之國	c=0 d=0.1 t=11128
zhi hou 	之後	c=56 d=1.0067 t=26156
zhi hu 	知乎	c=5 d=1.86071 t=25199
zhi huan 	置換	c=1 d=0.1 t=25060
zhi huan cheng 	置換成	c=1 d=1 t=25061
zhi hui 	只會	c=10 d=1.03217 t=12571
zhi hui 	智慧	c=1 d=1 t=20843
zhi hui you 	只會由	c=1 d=1 t=10785
zhi hui zai 	只會在	c=4 d=1 t=19063
zhi ji 	職級	c=3 d=1.99501 t=27210
zhi ji lu 	只記錄	c=1 d=1 t=26358
zhi jian 	之間	c=6 d=1.9802 t=25931
zhi jie 	直接	c=40 d=1.07926 t=25089
zhi jie diao yong 	直接調用	c=1 d=1 t=3787
zhi jie qu 	直接去	c=1 d=1 t=2541
zhi jue 	直觉	c=2 d=1.18268 t=17548
zhi kan 	只看	c=0 d=0.1 t=6121
zhi kan le 	只看了	c=1 d=1 t=6122
zhi kao 	只靠	c=1 d=1 t=4087
zhi kao lv 	只考慮	c=1 d=1 t=3984
zhi ke neng 	只可能	c=2 d=1.64082 t=10790
zhi lai 	只來	c=0 d=0.1 t=3645
zhi lai zi 	只來自	c=1 d=1 t=3646
zhi lei 	之類	c=5 d=1 t=20103
zhi lei de 	之類的	c=2 d=1 t=20815
zhi leng 	製冷	c=1 d=1 t=21064
zhi ling 	指令	c=2 d=1 t=23126
zhi men 	之門	c=0 d=0.1 t=11131
zhi nei 	之內	c=1 d=1 t=17356
zhi neng 	只能	c=9 d=0.10459 t=23031
zhi neng 	智能	c=1 d=1 t=24925
zhi neng de dao 	只能得到	c=1 d=1 t=1934
zhi neng fang 	只能放	c=1 d=1.09501 t=23033
zhi neng fang yi ge 	只能放一個	c=1 d=1 t=23034
zhi neng kan 	只能看	c=1 d=1 t=1711
zhi neng shi 	只能是	c=1 d=1 t=867
zhi neng yi 	只能以	c=2 d=1 t=26789
zhi neng you 	只能由	c=1 d=1 t=22058
zhi qian 	之前	c=16 d=1.7485 t=27233
zhi qian mei kan dao 	之前沒看到	c=1 d=1 t=24444
zhi shao 	至少	c=9 d=1.00109 t=24527
zhi she zhi 	只設置	c=1 d=1 t=20560
zhi shi 	只是	c=13 d=1 t=27191
zhi shi 	知識	c=1 d=1 t=12140
zhi shi ge 	只是個	c=1 d=1 t=4896
zhi shi gei 	只是給	c=1 d=1 t=10041
zhi shi xian 	只實現	c=1 d=1 t=725
zhi tao lun 	只討論	c=1 d=1 t=5255
zhi tong ji 	只統計	c=1 d=1 t=14050
zhi wai 	之外	c=1 d=1 t=3857
zhi wei 	置爲	c=1 d=1 t=16321
zhi xiang 	只向	c=1 d=1 t=6931
zhi xiang 	指向	c=3 d=1.01246 t=3097
zhi xiang 	紙箱	c=1 d=1 t=9836
zhi xie 	致謝	c=4 d=1.00026 t=8896
zhi xing 	執行	c=37 d=1.01776 t=25507
zhi xing de 	執行的	c=0 d=0.1 t=23419
zhi xing de shi jian 	執行的時間	c=1 d=1 t=23420
zhi xing hou 	執行後	c=1 d=1 t=23700
zhi xing qi 	執行器	c=1 d=1 t=862
zhi xing qian 	執行前	c=3 d=1.0382 t=26588
zhi xing shi jian 	執行時間	c=1 d=1 t=23419
zhi xing xiao lv 	執行效率	c=1 d=1 t=22516
zhi xing zhong 	執行中	c=1 d=1 t=21439
zhi xu 	只需	c=3 d=1 t=22809
zhi xu 	秩序	c=1 d=1 t=428
zhi xu yao 	只需要	c=4 d=1.00017 t=23526
zhi yao 	只要	c=4 d=0.100019 t=26660
zhi yao ba 	只要把	c=1 d=1 t=26661
zhi ye 	職業	c=4 d=2.12235 t=5908
zhi yong 	只用	c=4 d=1.00002 t=12864
zhi yong dao 	只用到	c=0 d=0.1 t=9608
zhi yong dao le 	只用到了	c=1 d=1 t=9609
zhi yong lai 	只用來	c=1 d=1 t=133
zhi you 	只有	c=29 d=2.14309 t=26748
zhi you 	只由	c=2 d=1.17033 t=10851
zhi you na xie 	只有那些	c=1 d=1 t=9161
zhi you yi ge 	只有一個	c=1 d=1 t=11125
zhi you zai 	只有在	c=1 d=1 t=26411
zhi yu 	至於	c=1 d=1 t=937
zhi zai 	只在	c=6 d=1.00001 t=18574
zhi zhen 	指針	c=12 d=1 t=27114
zhi zhi 	直至	c=1 d=1 t=20711
zhi zhi chi 	只支持	c=1 d=1 t=19400
zhi zhi dao 	只知道	c=2 d=1.99501 t=18408
zhi zuo 	只做	c=2 d=1.00001 t=26715
zhi zuo 	製作	c=5 d=1 t=10160
zhong 	中	c=113 d=4.44474 t=26123
zhong 	種	c=4 d=1 t=19244
zhong bao 	衆包	c=1 d=1 t=13566
zhong de 	中的	c=2 d=1 t=23790
zhong dian 	重點	c=2 d=1 t=18649
